;UF_Destino;UF_origem;Origem;Destino;KM;PED;Pton;Preco;Produto;Especie;Veiculo_1;Veiculo_2;Ano;Mes;Dia
3825;DF;PR;São José Dos Pinhais;Brasilia;1392;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3826;DF;PR;São José Dos Pinhais;Brasilia;1392;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3827;DF;PR;São José Dos Pinhais;Taguatinga;Não informado;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3828;DF;PR;São José Dos Pinhais;Taguatinga;Não informado;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3829;CE;SP;São Paulo;Horizonte;2866;0;0; 800,00 ;Não informado;Não informado;'Truck';'Bi-Truck';2021;2;1
3830;GO;PR;São José Dos Pinhais;Niquelandia;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3831;GO;PR;São José Dos Pinhais;Niquelandia;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3832;GO;PR;São José Dos Pinhais;Niquelandia;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3833;SP;PR;São José Dos Pinhais;Sao Paulo;408;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3834;SP;PR;São José Dos Pinhais;Sao Bernardo Do Campo;414;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3835;SP;PR;São José Dos Pinhais;Sao Bernardo Do Campo;414;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3836;SP;PR;São José Dos Pinhais;Sao Bernardo Do Campo;414;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3837;RJ;PR;São José Dos Pinhais;Rio De Janeiro;854;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3838;RJ;PR;São José Dos Pinhais;Rio De Janeiro;854;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3839;RJ;PR;São José Dos Pinhais;Rio De Janeiro;854;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3840;RJ;PR;São José Dos Pinhais;Rio De Janeiro;854;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3841;RJ;PR;São José Dos Pinhais;Rio De Janeiro;854;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3842;RJ;PR;São José Dos Pinhais;Rio De Janeiro;854;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3843;RJ;PR;São José Dos Pinhais;Rio De Janeiro;854;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3844;RJ;PR;São José Dos Pinhais;Rio De Janeiro;854;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3845;SP;PR;São José Dos Pinhais;Santo Andre;415;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
